Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,State/Province,Top_25_player,G.1,MP.1,Pos_C,Pos_F,Pos_F-C,Pos_F-G,Pos_G,Pos_G-F,Pos_SF-SG,Team_ATL,Team_BOS,Team_BRK,Team_CHI,Team_CHO,Team_CLE,Team_CON,Team_DAL,Team_DEN,Team_DET,Team_GSW,Team_HOU,Team_IND,Team_LAC,Team_LAL,Team_LAS,Team_LVA,Team_MEM,Team_MIA,Team_MIL,Team_MIN,Team_NOP,Team_NYK,Team_NYL,Team_OKC,Team_ORL,Team_PHI,Team_PHO,Team_POR,Team_SAC,Team_SAS,Team_SEA,Team_TOR,Team_TOT,Team_UTA,Team_WAS,Team Name_Atlanta Dream,Team Name_Atlanta Hawks,Team Name_Boston Celtics,Team Name_Brooklyn Nets,Team Name_Charlotte Hornets,Team Name_Chicago Bulls,Team Name_Chicago Sky,Team Name_Cleveland Cavaliers,Team Name_Connecticut Sun,Team Name_Dallas Mavericks,Team Name_Dallas Wings,Team Name_Denver Nuggets,Team Name_Detroit Pistons,Team Name_Golden State Warriors,Team Name_Houston Rockets,Team Name_Indiana Fever,Team Name_Indiana Pacers,Team Name_Las Vegas Aces,Team Name_Los Angeles Clippers,Team Name_Los Angeles Lakers,Team Name_Los Angeles Sparks,Team Name_Memphis Grizzlies,Team Name_Miami Heat,Team Name_Milwaukee Bucks,Team Name_Minnesota Lynx,Team Name_Minnesota Timberwolves,Team Name_New Orleans Pelicans,Team Name_New York Knicks,Team Name_New York Liberty,Team Name_Oklahoma City Thunder,Team Name_Orlando Magic,Team Name_Philadelphia 76ers,Team Name_Phoenix Mercury,Team Name_Phoenix Suns,Team Name_Portland Trail Blazers,Team Name_Sacramento Kings,Team Name_San Antonio Spurs,Team Name_Seattle Storm,Team Name_Toronto Raptors,Team Name_Utah Jazz,Team Name_Washington Mystics,Team Name_Washington Wizards,City_Atlanta,City_Boston,City_Brooklyn,City_Charlotte,City_Chicago,City_Cleveland,City_Connecticut,City_Dallas,City_Denver,City_Detroit,City_Houston,City_Indiana,City_Indianapolis,City_Las Vegas,City_Los Angeles,City_Memphis,City_Miami,City_Milwaukee,City_Minneapolis,City_Minnesota,City_New Orleans,City_New York,City_New York City,City_Oklahoma City,City_Orlando,City_Philadelphia,City_Phoenix,City_Portland,City_Sacramento,City_Salt Lake City,City_San Antonio,City_San Francisco,City_Seattle,City_Toronto,City_Washington,League_NBA,League_WNBA,Playstyle_Cluster,PER
Iliana Rupert,1.34595098170749,0.03430457031704698,-0.7305097845655001,-0.6300379973416779,-0.5366995617662811,-0.4271182010479492,-0.08444561310442082,0.11605016799439233,0.23167797666435144,-0.7965414597291381,-0.7925878906256149,-0.2753188343043107,-0.5818926335966942,-0.6345082843268572,0.6246718181642241,-0.5483677642639632,-0.7184404155139974,-0.139365099792725,-0.3610712894781592,-1.114935501756564,-0.7654230078028786,-1.0731829758455753,-0.6242889673517201,Nevada,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.7347375187989641
Mercedes Russell,0.31189853531699757,-0.5792012686557166,-0.739442751084692,-0.6300379973416779,-0.6731771606666643,0.14165959839951506,-0.08444561310442082,0.06529388501628322,0.4631146580100522,-0.7965414597291381,-0.945721225089585,0.966073362087018,-0.5818926335966942,-0.6345082843268572,0.6198901896990847,-0.5483677642639632,-1.0212460469665903,-0.1462869934505808,-0.7211854471547339,-1.114935501756564,-0.7654230078028786,-1.0731829758455753,-0.6242889673517201,Washington,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1,-0.9821377353105452
Satou Sabally,-0.39313722358561076,-0.11907188942614391,-0.7151081181531002,-0.5832358350299796,-0.28649063044891154,-1.053598096091533,-0.28552681602826435,0.21756273395061054,-0.10261945194610529,-0.7395300094878551,-0.5169478885904688,-1.096130067983823,-0.4997860168885116,-0.5666643518729263,0.6342350750945027,-0.4047370806572339,-0.1590278566902725,-0.32616879377556535,0.1790999470367028,-0.9239916103508831,-0.7654230078028786,-1.0731829758455753,-0.6242889673517201,Texas,True,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,-0.418649582040765
Karlie Samuelson,2.1919938923906197,3.2040847383429925,-0.6645906523204282,3.5353544483994774,3.46664333931163,0.4548995459213067,1.3670944935167681,2.3493266190311908,0.6688361525395642,3.1372486069194023,3.2501321392231945,0.2741498427869333,3.5234382018124375,3.3682837304550715,0.5386025057917165,-0.2611063970505047,-0.040758706058921935,1.178001077017268,0.5392141047132777,-0.5233370002634529,1.701046860305644,0.43423588618029063,3.068954955759946,Arizona,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,4,1.0725830225282056
Katie Lou Samuelson,0.35890091924383816,-0.528075782074653,-0.737902584443452,-0.20881853653639265,-0.5139532952828839,1.2627288842669804,-0.781313208891774,-0.7975629256115707,-0.7390703256467829,0.11564174413139303,-0.21068121966252867,1.1560131516988061,-0.08925293334759837,-0.2274446896032713,0.6581432174201992,0.45704702098314165,-0.001335655848471782,-0.46046967509635406,-0.5411283683164465,-0.12268239017602235,-0.6356088042182195,-0.4450917833347979,-0.3981719924673324,California,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,-0.40482864736216667
Jessica Shepard,-0.6281491432198135,-0.7325777283989076,-0.7382106177717,-0.3492250234714877,-0.1727592980319254,-0.4436045140754119,-0.45078894698276756,0.11605016799439233,-0.46263206737275125,-0.2834384075575895,-0.2719345534481166,0.03672510577219806,-0.8282124837212421,-0.7023522167807882,-1.1206225716116227,-0.5483677642639632,-0.7109505596365747,-0.19186791245477666,-0.3610712894781592,-0.3230096952197376,-0.6356088042182195,-0.4450917833347979,-0.5338421773979651,Minnesota,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.526892134441644
Aisha Sheppard,0.6409152228048816,-0.7325777283989076,-0.74437128433666,-0.9108509712118681,-0.9688786249508284,-0.07266247095750063,-0.5457368392172031,-0.34075637880858917,0.6816937459476587,-1.024587260694271,-1.129481226446349,-0.05824478903369565,-0.9924257171376073,-1.0415718790504431,1.2701916609580306,-0.9792598150841509,-0.2576475655978558,-1.2314905175196653,-0.9384294141272433,-0.3372236073198396,-1.154865618556856,-1.0731829758455753,-0.9257782671975704,Nevada,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-1.0754225470220709
Jennie Simms,1.6749676691953739,-0.6814522418178439,-0.7169563181225881,0.21240092426889282,0.5551212294367855,-0.45184767058914327,1.310487415663777,1.435713525425228,0.508116234938383,-0.39746130804015584,-0.11880121898414656,-0.7840861279073144,0.8139198504424106,0.6545264322978317,0.639016703559642,-0.5483677642639632,-0.20252348264541936,-0.5504003981242311,-0.6272907818946825,-0.26016306623615654,-0.5057946006335605,-0.5707100218369532,0.31032786217041586,Arizona,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,-0.35026093872199804
Hannah Sjerven,0.5939128388780409,-0.7325777283989076,-0.7089474515881401,0.44641173582738464,0.7370913613039636,-0.245768757745859,0.07048763466542594,1.7910075062719915,0.6688361525395642,-0.3404498577988727,-0.08817455209135251,-0.6212805939543531,1.306559550691506,1.0615900270214176,0.8063736998395179,-0.5483677642639632,-0.5973181629329601,-0.09783373784559007,-0.1810142106398719,-0.4535995300344875,-0.5057946006335605,-0.0682370678283313,0.6419660920008511,Minnesota,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,-0.11683306004410302
Destiny Slocum,-0.34613483965877023,-0.6814522418178439,-0.7320499512067401,-0.25562069884809085,0.21392723218582724,-0.9629233744404879,0.16819556650625098,0.7251255637317011,0.025956482134839386,-0.5114842085227221,-0.14942788587694059,-1.1029136318985298,-0.17135955005578107,-0.09175682469540934,-0.03519291002500029,-0.6919984478706924,-0.2576475655978558,-0.822836445882405,-0.9384294141272433,-0.41428414840352273,-0.5057946006335605,-1.3244194528498863,-0.27757627252899236,Georgia,False,0.0,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.7888405878972166
Kamiah Smalls,0.45290568709751927,-0.7325777283989076,-0.7298937179090041,-0.11521421191299584,-0.2637443639655144,0.5290879545448891,-0.5457368392172031,-0.08697496391804388,0.07095805906317015,-0.05539260659245671,-0.2719345534481166,0.8575363394517105,-0.33557278347214625,-0.43097648696506424,0.6055453043036668,-0.8356291314774217,-0.2760222599153346,0.7436708287270943,0.3061251148029987,-0.26016306623615654,0.2730906208743942,-0.0682370678283313,-0.3077252025135774,Minnesota,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.15548740263399252
Alanna Smith,1.3929533656343305,2.3349514664649105,-0.6689031189159003,1.803674442866637,1.6014494876730578,0.6197626761959342,-0.037633619596509425,0.11605016799439233,0.7524105096921782,2.0540310523350214,2.0863187972970225,0.29450053453105346,4.426610985602446,4.182410919902243,0.5912004189082489,1.4624618062302461,0.6294331475187305,0.7213780805265864,1.259442420066427,-0.3230096952197376,0.7923474352130304,-0.5707100218369532,1.8780722213688377,Indiana,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,1.1438266545246554
